�ɺt�W��,����,����,�q�v�W��,IMDB�Τ�벼�ƶq,�w��,�W�u���,IMDB����,�q�vFB������,�y��,��a
James Cameron,723,760505847,Avatar?,886204,237000000,2009,7.9,33000,English,USA
Gore Verbinski,302,309404152,Pirates of the Caribbean: At World's End?,471220,300000000,2007,7.1,0,English,USA
Sam Mendes,602,200074175,Spectre?,275868,245000000,2015,6.8,85000,English,UK
Christopher Nolan,813,448130642,The Dark Knight Rises?,1144337,250000000,2012,8.5,164000,English,USA
Doug Walker,,,Star Wars: Episode VII - The Force Awakens?            ,8,,,7.1,0,,
Andrew Stanton,462,73058679,John Carter?,212204,263700000,2012,6.6,24000,English,USA
Sam Raimi,392,336530303,Spider-Man 3?,383056,258000000,2007,6.2,0,English,USA
Nathan Greno,324,200807262,Tangled?,294810,260000000,2010,7.8,29000,English,USA
Joss Whedon,635,458991599,Avengers: Age of Ultron?,462669,250000000,2015,7.5,118000,English,USA
David Yates,375,301956980,Harry Potter and the Half-Blood Prince?,321795,250000000,2009,7.5,10000,English,UK
Zack Snyder,673,330249062,Batman v Superman: Dawn of Justice?,371639,250000000,2016,6.9,197000,English,USA
Bryan Singer,434,200069408,Superman Returns?,240396,209000000,2006,6.1,0,English,USA
Marc Forster,403,168368427,Quantum of Solace?,330784,200000000,2008,6.7,0,English,UK
Gore Verbinski,313,423032628,Pirates of the Caribbean: Dead Man's Chest?,522040,225000000,2006,7.3,5000,English,USA
Gore Verbinski,450,89289910,The Lone Ranger?,181792,215000000,2013,6.5,48000,English,USA
Zack Snyder,733,291021565,Man of Steel?,548573,225000000,2013,7.2,118000,English,USA
Andrew Adamson,258,141614023,The Chronicles of Narnia: Prince Caspian?,149922,225000000,2008,6.6,0,English,USA
Joss Whedon,703,623279547,The Avengers?,995415,220000000,2012,8.1,123000,English,USA
Rob Marshall,448,241063875,Pirates of the Caribbean: On Stranger Tides?,370704,250000000,2011,6.7,58000,English,USA
Barry Sonnenfeld,451,179020854,Men in Black 3?,268154,225000000,2012,6.8,40000,English,USA
Peter Jackson,422,255108370,The Hobbit: The Battle of the Five Armies?,354228,250000000,2014,7.5,65000,English,New Zealand
Marc Webb,599,262030663,The Amazing Spider-Man?,451803,230000000,2012,7,56000,English,USA
Ridley Scott,343,105219735,Robin Hood?,211765,200000000,2010,6.7,17000,English,USA
Peter Jackson,509,258355354,The Hobbit: The Desolation of Smaug?,483540,225000000,2013,7.9,83000,English,USA
Chris Weitz,251,70083519,The Golden Compass?,149019,180000000,2007,6.1,0,English,USA
Peter Jackson,446,218051260,King Kong?,316018,207000000,2005,7.2,0,English,New Zealand
James Cameron,315,658672302,Titanic?,793059,200000000,1997,7.7,26000,English,USA
Anthony Russo,516,407197282,Captain America: Civil War?,272670,250000000,2016,8.2,72000,English,USA
Peter Berg,377,65173160,Battleship?,202382,209000000,2012,5.9,44000,English,USA
Colin Trevorrow,644,652177271,Jurassic World?,418214,150000000,2015,7,150000,English,USA
Sam Mendes,750,304360277,Skyfall?,522030,200000000,2012,7.8,80000,English,UK
Sam Raimi,300,373377893,Spider-Man 2?,411164,200000000,2004,7.3,0,English,USA
Shane Black,608,408992272,Iron Man 3?,557489,200000000,2013,7.2,95000,English,USA
Tim Burton,451,334185206,Alice in Wonderland?,306320,200000000,2010,6.5,24000,English,USA
Brett Ratner,334,234360014,X-Men: The Last Stand?,383427,210000000,2006,6.8,0,English,Canada
Dan Scanlon,376,268488329,Monsters University?,235025,200000000,2013,7.3,44000,English,USA
Michael Bay,366,402076689,Transformers: Revenge of the Fallen?,323207,200000000,2009,6,0,English,USA
Michael Bay,378,245428137,Transformers: Age of Extinction?,242420,210000000,2014,5.7,56000,English,USA
Sam Raimi,525,234903076,Oz the Great and Powerful?,175409,215000000,2013,6.4,60000,English,USA
Marc Webb,495,202853933,The Amazing Spider-Man 2?,321227,200000000,2014,6.7,41000,English,USA
Joseph Kosinski,469,172051787,TRON: Legacy?,264183,170000000,2010,6.8,30000,English,USA
John Lasseter,304,191450875,Cars 2?,101178,200000000,2011,6.3,10000,English,USA
Martin Campbell,436,116593191,Green Lantern?,223393,200000000,2011,5.6,24000,English,USA
Lee Unkrich,453,414984497,Toy Story 3?,544884,200000000,2010,8.3,30000,English,USA
McG,422,125320003,Terminator Salvation?,286095,200000000,2009,6.6,0,English,USA
James Wan,424,350034110,Furious 7?,278232,190000000,2015,7.2,94000,English,USA
Marc Forster,654,202351611,World War Z?,465019,190000000,2013,7,129000,English,USA
Bryan Singer,539,233914986,X-Men: Days of Future Past?,514125,200000000,2014,8,82000,English,USA
J.J. Abrams,590,228756232,Star Trek Into Darkness?,395573,190000000,2013,7.8,92000,English,USA
Bryan Singer,338,65171860,Jack the Giant Slayer?,106416,195000000,2013,6.3,22000,English,USA
Baz Luhrmann,490,144812796,The Great Gatsby?,362912,105000000,2013,7.3,115000,English,Australia
Mike Newell,306,90755643,Prince of Persia: The Sands of Time?,222403,200000000,2010,6.6,23000,English,USA
Guillermo del Toro,575,101785482,Pacific Rim?,381148,190000000,2013,7,83000,English,USA
Michael Bay,428,352358779,Transformers: Dark of the Moon?,326180,195000000,2011,6.3,46000,English,USA
Steven Spielberg,470,317011114,Indiana Jones and the Kingdom of the Crystal Skull?,333847,185000000,2008,6.2,5000,English,USA
Peter Sohn,298,123070338,The Good Dinosaur?,62836,,2015,6.8,20000,English,USA
Mark Andrews,488,237282182,Brave?,273556,185000000,2012,7.2,39000,English,USA
Justin Lin,322,130468626,Star Trek Beyond?,53607,185000000,2016,7.5,30000,English,USA
Andrew Stanton,421,223806889,WALL·E?,718837,180000000,2008,8.4,16000,English,USA
Brett Ratner,162,140080850,Rush Hour 3?,121084,140000000,2007,6.2,0,English,USA
Roland Emmerich,367,166112167,2012?,283418,200000000,2009,5.8,13000,English,USA
Robert Zemeckis,240,137850096,A Christmas Carol?,72809,200000000,2009,6.8,0,English,USA
Lana Wachowski,384,47375327,Jupiter Ascending?,139593,176000000,2015,5.4,44000,English,USA
David Yates,248,124051759,The Legend of Tarzan?,42372,180000000,2016,6.6,29000,English,USA
Andrew Adamson,284,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe?",286506,180000000,2005,6.9,0,English,USA
Bryan Singer,396,154985087,X-Men: Apocalypse?,148379,178000000,2016,7.3,54000,English,USA
Christopher Nolan,645,533316061,The Dark Knight?,1676169,185000000,2008,9,37000,English,USA
Pete Docter,408,292979556,Up?,665575,175000000,2009,8.3,27000,English,USA
Rob Letterman,219,198332128,Monsters vs. Aliens?,114553,175000000,2009,6.5,0,English,USA
Jon Favreau,486,318298180,Iron Man?,696338,140000000,2008,7.9,10000,English,USA
Martin Scorsese,682,73820094,Hugo?,245333,170000000,2011,7.5,42000,English,USA
Barry Sonnenfeld,85,113745408,Wild Wild West?,129601,170000000,1999,4.8,0,English,USA
Rob Cohen,264,102176165,The Mummy: Tomb of the Dragon Emperor?,117927,145000000,2008,5.2,0,English,USA
David Ayer,418,161087183,Suicide Squad?,118992,175000000,2016,6.9,80000,English,USA
Tom Shadyac,186,100289690,Evan Almighty?,115099,175000000,2007,5.4,2000,English,USA
